Filename,Pruning_Layer,Tokens_Kept,Variant_ID,church outdoor,shop,monestary,chapel,library,building,road,street
Church outdoor.jpg_None_All_a,None,All,0,0.7983987331390381,0.0003340152616146952,0.0011751127894967794,0.13984745740890503,0.014174032025039196,0.03838363662362099,0.0001475161116104573,0.007539425045251846
Church outdoor.jpg_None_All_a,None,All,1,0.7295132279396057,0.000617667508777231,0.007605839055031538,0.1685217022895813,0.02327140048146248,0.05487788841128349,0.0004112598835490644,0.015180903486907482
Church outdoor.jpg_None_All_a,None,All,2,0.761735200881958,0.0015501363668590784,0.012712105177342892,0.14487259089946747,0.009500971995294094,0.03633137792348862,0.00054959487169981,0.03274812549352646
Church outdoor.jpg_None_All_a,None,All,3,0.6180039048194885,0.0046826377511024475,0.009154722094535828,0.14413592219352722,0.025699010118842125,0.1101166382431984,0.0016192087205126882,0.0865878015756607
Church outdoor.jpg_None_All_a,None,All,4,0.5990865230560303,0.0038458758499473333,0.01631929539144039,0.2224716693162918,0.016457708552479744,0.07154931873083115,0.0013858771417289972,0.06888381391763687
Church outdoor.jpg_None_All_b,None,All,0,0.7983987331390381,0.0003340152616146952,0.0011751127894967794,0.13984745740890503,0.014174032025039196,0.03838363662362099,0.0001475161116104573,0.007539425045251846
Church outdoor.jpg_None_All_b,None,All,1,0.7719340920448303,0.00032326779910363257,0.007329191546887159,0.1623951643705368,0.011947069317102432,0.03383087366819382,0.0002655215503182262,0.011974833905696869
Church outdoor.jpg_None_All_b,None,All,2,0.7185471057891846,0.001537485048174858,0.016767198219895363,0.15481272339820862,0.014342264272272587,0.04577014967799187,0.0012702004751190543,0.04695289209485054
Church outdoor.jpg_None_All_b,None,All,3,0.7031605243682861,0.0020640098955482244,0.007777497172355652,0.1732683777809143,0.008680281229317188,0.043674200773239136,0.0009410749189555645,0.06043402850627899
Church outdoor.jpg_None_All_b,None,All,4,0.6113583445549011,0.004755350295454264,0.005092160776257515,0.14273183047771454,0.012148887850344181,0.10997069627046585,0.0018011685460805893,0.11214160174131393
Church outdoor.jpg_None_All_c,None,All,0,0.7983987331390381,0.0003340152616146952,0.0011751127894967794,0.13984745740890503,0.014174032025039196,0.03838363662362099,0.0001475161116104573,0.007539425045251846
Church outdoor.jpg_None_All_c,None,All,1,0.7509472370147705,0.000629548798315227,0.00530683808028698,0.13933824002742767,0.02019735611975193,0.05672489106655121,0.0006598721374757588,0.026195963844656944
Church outdoor.jpg_None_All_c,None,All,2,0.7579001784324646,0.0006531579419970512,0.005037540569901466,0.15641765296459198,0.014397500082850456,0.04871828481554985,0.0003632487787399441,0.01651238650083542
Church outdoor.jpg_None_All_c,None,All,3,0.6270070672035217,0.0033483104780316353,0.010211716406047344,0.1538693755865097,0.01629410870373249,0.09828612208366394,0.0015868906630203128,0.08939635008573532
Church outdoor.jpg_None_All_c,None,All,4,0.6282361745834351,0.004518559668213129,0.013344976119697094,0.19288897514343262,0.014677487313747406,0.06839939206838608,0.001013705157674849,0.07692067325115204
Church outdoor.jpg_None_All_d,None,All,0,0.7983987331390381,0.0003340152616146952,0.0011751127894967794,0.13984745740890503,0.014174032025039196,0.03838363662362099,0.0001475161116104573,0.007539425045251846
Church outdoor.jpg_None_All_d,None,All,1,0.6932911276817322,0.0008698692545294762,0.0062195840291678905,0.17236557602882385,0.024555429816246033,0.07718272507190704,0.0006303983391262591,0.024885287508368492
Church outdoor.jpg_None_All_d,None,All,2,0.7385194897651672,0.0009538107551634312,0.007760008331388235,0.1480875313282013,0.014444058761000633,0.051180317997932434,0.0010486117098480463,0.03800627961754799
Church outdoor.jpg_None_All_d,None,All,3,0.6237253546714783,0.002927512628957629,0.008747109211981297,0.20918338000774384,0.018495040014386177,0.08621593564748764,0.0006914002005942166,0.050014201551675797
Church outdoor.jpg_None_All_d,None,All,4,0.6268767714500427,0.0031754968222230673,0.007683137897402048,0.22181081771850586,0.020906934514641762,0.06796598434448242,0.0008584440220147371,0.05072235316038132
Church outdoor.jpg_None_All_e,None,All,0,0.7983987331390381,0.0003340152616146952,0.0011751127894967794,0.13984745740890503,0.014174032025039196,0.03838363662362099,0.0001475161116104573,0.007539425045251846
Church outdoor.jpg_None_All_e,None,All,1,0.7529236674308777,0.0004812091065105051,0.006006959360092878,0.14752407371997833,0.018169866874814034,0.05293184518814087,0.0005693631828762591,0.021393047645688057
Church outdoor.jpg_None_All_e,None,All,2,0.6789171695709229,0.0021434195805341005,0.015413999557495117,0.13668300211429596,0.023946041241288185,0.08375880122184753,0.0014526440063491464,0.057684898376464844
Church outdoor.jpg_None_All_e,None,All,3,0.5899773836135864,0.004606229718774557,0.013843956403434277,0.11933696269989014,0.03616886958479881,0.12213596701622009,0.0025851079262793064,0.11134550720453262
Church outdoor.jpg_None_All_e,None,All,4,0.49079182744026184,0.0066948882304131985,0.012608609162271023,0.13590195775032043,0.03506873920559883,0.16220878064632416,0.0033164420165121555,0.1534087210893631
Church outdoor.jpg_None_All_f,None,All,0,0.7983987331390381,0.0003340152616146952,0.0011751127894967794,0.13984745740890503,0.014174032025039196,0.03838363662362099,0.0001475161116104573,0.007539425045251846
Church outdoor.jpg_None_All_f,None,All,1,0.7263344526290894,0.0006663455278612673,0.008874411694705486,0.16382122039794922,0.023687858134508133,0.053018245846033096,0.0006146617815829813,0.02298276126384735
Church outdoor.jpg_None_All_f,None,All,2,0.7529667615890503,0.0007745148614048958,0.013952541165053844,0.16422788798809052,0.007765906862914562,0.03627548739314079,0.0004683132574427873,0.02356855943799019
Church outdoor.jpg_None_All_f,None,All,3,0.7261650562286377,0.001407510950230062,0.013304896652698517,0.17615747451782227,0.012262796983122826,0.040594615042209625,0.0007962325471453369,0.02931145951151848
Church outdoor.jpg_None_All_f,None,All,4,0.5471086502075195,0.0042762537486851215,0.016219107434153557,0.17969435453414917,0.039731185883283615,0.1238277480006218,0.0016551773296669126,0.08748755604028702
Church outdoor.jpg_None_All_g,None,All,0,0.7983987331390381,0.0003340152616146952,0.0011751127894967794,0.13984745740890503,0.014174032025039196,0.03838363662362099,0.0001475161116104573,0.007539425045251846
Church outdoor.jpg_None_All_g,None,All,1,0.6811090707778931,0.0006498831207863986,0.005677137058228254,0.2000286877155304,0.03023727796971798,0.06250801682472229,0.0005885286955162883,0.019201479852199554
Church outdoor.jpg_None_All_g,None,All,2,0.7432036995887756,0.0007383914780803025,0.007850087247788906,0.17960333824157715,0.012288429774343967,0.04059126600623131,0.0003967286611441523,0.015328006818890572
Church outdoor.jpg_None_All_g,None,All,3,0.7147023677825928,0.002619339618831873,0.01518423855304718,0.16327397525310516,0.016586216166615486,0.05543685704469681,0.0007079595816321671,0.03148903697729111
Church outdoor.jpg_None_All_g,None,All,4,0.6189277768135071,0.002506550867110491,0.004032062832266092,0.1478913128376007,0.016203809529542923,0.09117021411657333,0.002327271504327655,0.11694101989269257
Church outdoor.jpg_None_All_h,None,All,0,0.7983987331390381,0.0003340152616146952,0.0011751127894967794,0.13984745740890503,0.014174032025039196,0.03838363662362099,0.0001475161116104573,0.007539425045251846
Church outdoor.jpg_None_All_h,None,All,1,0.7550281882286072,0.0007128980942070484,0.00409702630713582,0.14568538963794708,0.02114523947238922,0.05552675947546959,0.00043187118717469275,0.017372678965330124
Church outdoor.jpg_None_All_h,None,All,2,0.781610369682312,0.0005353167653083801,0.007672070525586605,0.15098951756954193,0.008245638571679592,0.031363558024168015,0.00031011851388029754,0.019273610785603523
Church outdoor.jpg_None_All_h,None,All,3,0.6613861918449402,0.001575426198542118,0.007094548083841801,0.2140125036239624,0.005618247203528881,0.04633750393986702,0.001174205681309104,0.06280127912759781
Church outdoor.jpg_None_All_h,None,All,4,0.6383423805236816,0.0029641911387443542,0.012904895469546318,0.17476092278957367,0.02024587243795395,0.11267241090536118,0.0006558666937053204,0.03745339810848236
Church outdoor.jpg_None_All_i,None,All,0,0.7983987331390381,0.0003340152616146952,0.0011751127894967794,0.13984745740890503,0.014174032025039196,0.03838363662362099,0.0001475161116104573,0.007539425045251846
Church outdoor.jpg_None_All_i,None,All,1,0.7384070754051208,0.0005722929490730166,0.008684304542839527,0.16720809042453766,0.01915346086025238,0.04914919659495354,0.0003956286236643791,0.016429981216788292
Church outdoor.jpg_None_All_i,None,All,2,0.7267025709152222,0.001513819326646626,0.009368896484375,0.15616095066070557,0.019776009023189545,0.06358085572719574,0.0004370906390249729,0.022459816187620163
Church outdoor.jpg_None_All_i,None,All,3,0.6447362303733826,0.0030619404278695583,0.007999460212886333,0.13224101066589355,0.01819261908531189,0.13255010545253754,0.0009023963357321918,0.06031613051891327
Church outdoor.jpg_None_All_i,None,All,4,0.6792116165161133,0.0018126694485545158,0.009274526499211788,0.16034035384655,0.007523501757532358,0.050808802247047424,0.0012246667174622416,0.08980393409729004
Church outdoor.jpg_None_All_j,None,All,0,0.7983987331390381,0.0003340152616146952,0.0011751127894967794,0.13984745740890503,0.014174032025039196,0.03838363662362099,0.0001475161116104573,0.007539425045251846
Church outdoor.jpg_None_All_j,None,All,1,0.6989963054656982,0.0008270573453046381,0.005271185655146837,0.19011446833610535,0.023598462343215942,0.06247131526470184,0.0004547789285425097,0.018266422674059868
Church outdoor.jpg_None_All_j,None,All,2,0.7111708521842957,0.0018439340637996793,0.011612595058977604,0.13777291774749756,0.018572809174656868,0.07319436967372894,0.0008487983141094446,0.04498378559947014
Church outdoor.jpg_None_All_j,None,All,3,0.7021019458770752,0.003482707077637315,0.007892174646258354,0.17831018567085266,0.00993136316537857,0.057803552597761154,0.0006173369474709034,0.039860740303993225
Church outdoor.jpg_None_All_j,None,All,4,0.5992681980133057,0.002644177060574293,0.011017845012247562,0.18614989519119263,0.021759215742349625,0.10015330463647842,0.0012839999981224537,0.07772339135408401
Church outdoor.jpg_2_25_a,2,25,0,0.7264363765716553,0.0004903714288957417,0.0006591938436031342,0.2190605103969574,0.010393411852419376,0.036461926996707916,0.00016041065100580454,0.006337885279208422
Church outdoor.jpg_2_25_a,2,25,1,0.6452663540840149,0.0007019374752417207,0.0027152132242918015,0.2820127010345459,0.010466487146914005,0.0499243400990963,0.00023731737746857107,0.008675582706928253
Church outdoor.jpg_2_25_a,2,25,2,0.6100302338600159,0.002318495884537697,0.004307298921048641,0.2908802628517151,0.011406486853957176,0.05676243454217911,0.0006032167002558708,0.02369154617190361
Church outdoor.jpg_2_25_a,2,25,3,0.5383280515670776,0.005644508637487888,0.021176649257540703,0.26586824655532837,0.006249581929296255,0.067699134349823,0.0016810738015919924,0.09335274994373322
Church outdoor.jpg_2_25_a,2,25,4,0.5483940243721008,0.0042427838779985905,0.02515043318271637,0.2667047381401062,0.011346896179020405,0.06947118788957596,0.0014171241782605648,0.07327284663915634
Church outdoor.jpg_2_25_b,2,25,0,0.7264363765716553,0.0004903714288957417,0.0006591938436031342,0.2190605103969574,0.010393411852419376,0.036461926996707916,0.00016041065100580454,0.006337885279208422
Church outdoor.jpg_2_25_b,2,25,1,0.6754255294799805,0.00036993270623497665,0.0036041075363755226,0.2571662664413452,0.01173945888876915,0.04451941326260567,0.00030133366817608476,0.006874051410704851
Church outdoor.jpg_2_25_b,2,25,2,0.604861855506897,0.001813052804209292,0.003667871467769146,0.35817745327949524,0.0034371656365692616,0.019798923283815384,0.000153920438606292,0.008089662529528141
Church outdoor.jpg_2_25_b,2,25,3,0.48998597264289856,0.0022160864900797606,0.013134919106960297,0.44782108068466187,0.0038793066050857306,0.02966182678937912,0.00031502271303907037,0.012985682114958763
Church outdoor.jpg_2_25_b,2,25,4,0.5951078534126282,0.004762515425682068,0.0062623703852295876,0.23462197184562683,0.007576037663966417,0.07121866196393967,0.00132754968944937,0.07912320643663406
Church outdoor.jpg_2_25_c,2,25,0,0.7264363765716553,0.0004903714288957417,0.0006591938436031342,0.2190605103969574,0.010393411852419376,0.036461926996707916,0.00016041065100580454,0.006337885279208422
Church outdoor.jpg_2_25_c,2,25,1,0.688178300857544,0.0003017217677552253,0.0024320411030203104,0.2725173234939575,0.00548144243657589,0.0274087805300951,0.00011996216926490888,0.003560310462489724
Church outdoor.jpg_2_25_c,2,25,2,0.6690657734870911,0.00044368559611029923,0.002630687551572919,0.296517550945282,0.0019689188338816166,0.025567589327692986,8.922318374970928e-05,0.0037165002431720495
Church outdoor.jpg_2_25_c,2,25,3,0.6684144139289856,0.002850128337740898,0.004397767595946789,0.2643260955810547,0.00533114280551672,0.04077789559960365,0.00019306638569105417,0.013709545135498047
Church outdoor.jpg_2_25_c,2,25,4,0.5449087619781494,0.0033384496346116066,0.009529278613626957,0.327102929353714,0.006627457216382027,0.05781853571534157,0.0012823969591408968,0.0493922159075737
Church outdoor.jpg_2_25_d,2,25,0,0.7264363765716553,0.0004903714288957417,0.0006591938436031342,0.2190605103969574,0.010393411852419376,0.036461926996707916,0.00016041065100580454,0.006337885279208422
Church outdoor.jpg_2_25_d,2,25,1,0.6168605089187622,0.0006359457038342953,0.005849732551723719,0.32768651843070984,0.007386874407529831,0.03492656722664833,0.00024195763398893178,0.006411954760551453
Church outdoor.jpg_2_25_d,2,25,2,0.6378925442695618,0.0013791144592687488,0.005850522313266993,0.23775504529476166,0.020756466314196587,0.08284766227006912,0.0003206297114957124,0.01319801714271307
Church outdoor.jpg_2_25_d,2,25,3,0.5342996120452881,0.0036761537194252014,0.009055285714566708,0.2954421937465668,0.009614348411560059,0.09896885603666306,0.0012825061567127705,0.04766099154949188
Church outdoor.jpg_2_25_d,2,25,4,0.641022264957428,0.0016985349357128143,0.009760645218193531,0.2592044770717621,0.005680674687027931,0.04085641726851463,0.0007916870526969433,0.04098527878522873
Church outdoor.jpg_2_25_e,2,25,0,0.7264363765716553,0.0004903714288957417,0.0006591938436031342,0.2190605103969574,0.010393411852419376,0.036461926996707916,0.00016041065100580454,0.006337885279208422
Church outdoor.jpg_2_25_e,2,25,1,0.6458703279495239,0.0005275898147374392,0.003294855821877718,0.29536673426628113,0.00798047799617052,0.039863213896751404,0.0002575955295469612,0.006839266512542963
Church outdoor.jpg_2_25_e,2,25,2,0.6797812581062317,0.0015361011028289795,0.008777990937232971,0.2603774964809418,0.0026300817262381315,0.027500491589307785,0.0002710231638047844,0.0191255584359169
Church outdoor.jpg_2_25_e,2,25,3,0.6995454430580139,0.0021421476267278194,0.018416527658700943,0.1995515078306198,0.004319324623793364,0.05038730427622795,0.0004703475278802216,0.025167465209960938
Church outdoor.jpg_2_25_e,2,25,4,0.6218829154968262,0.005386769771575928,0.010499633848667145,0.23407284915447235,0.006650529336184263,0.07032191008329391,0.0009643900557421148,0.05022096633911133
Church outdoor.jpg_2_25_f,2,25,0,0.7264363765716553,0.0004903714288957417,0.0006591938436031342,0.2190605103969574,0.010393411852419376,0.036461926996707916,0.00016041065100580454,0.006337885279208422
Church outdoor.jpg_2_25_f,2,25,1,0.7041837573051453,0.00013215714716352522,0.0025696544907987118,0.26197493076324463,0.0047775814309716225,0.0233910009264946,9.69009124673903e-05,0.002874107798561454
Church outdoor.jpg_2_25_f,2,25,2,0.5823885202407837,0.0027199359610676765,0.005693159066140652,0.32996681332588196,0.008502479642629623,0.05579937994480133,0.00031603590468876064,0.01461377739906311
Church outdoor.jpg_2_25_f,2,25,3,0.6011573672294617,0.007227336522191763,0.012024540454149246,0.2770712971687317,0.009278915822505951,0.05648629739880562,0.0006353051285259426,0.036118973046541214
Church outdoor.jpg_2_25_f,2,25,4,0.4598686397075653,0.019478369504213333,0.008472640998661518,0.25229933857917786,0.010149168781936169,0.15741731226444244,0.0013135647168383002,0.09100107848644257
Church outdoor.jpg_2_25_g,2,25,0,0.7264363765716553,0.0004903714288957417,0.0006591938436031342,0.2190605103969574,0.010393411852419376,0.036461926996707916,0.00016041065100580454,0.006337885279208422
Church outdoor.jpg_2_25_g,2,25,1,0.5890483260154724,0.0007354341214522719,0.0038486765697598457,0.33890971541404724,0.010725581087172031,0.04369191825389862,0.00042107279296033084,0.012619372457265854
Church outdoor.jpg_2_25_g,2,25,2,0.5773624181747437,0.0011671457905322313,0.0041077653877437115,0.33762407302856445,0.0087742293253541,0.05858226120471954,0.00046582496725022793,0.011916222982108593
Church outdoor.jpg_2_25_g,2,25,3,0.6814983487129211,0.0012579705798998475,0.00829679612070322,0.21988622844219208,0.008524092845618725,0.062091827392578125,0.0006427131593227386,0.017802096903324127
Church outdoor.jpg_2_25_g,2,25,4,0.5983748435974121,0.0038455002941191196,0.008414048701524734,0.24846158921718597,0.007877672091126442,0.08478735387325287,0.0008163824095390737,0.0474226213991642
Church outdoor.jpg_2_25_h,2,25,0,0.7264363765716553,0.0004903714288957417,0.0006591938436031342,0.2190605103969574,0.010393411852419376,0.036461926996707916,0.00016041065100580454,0.006337885279208422
Church outdoor.jpg_2_25_h,2,25,1,0.5811859369277954,0.0007108438294380903,0.0023608023766428232,0.3257223665714264,0.013233540579676628,0.06895500421524048,0.00029307606746442616,0.0075384750962257385
Church outdoor.jpg_2_25_h,2,25,2,0.5601683855056763,0.0035079955123364925,0.0047233253717422485,0.3334560692310333,0.010009011253714561,0.06437590718269348,0.0008400501683354378,0.022919246926903725
Church outdoor.jpg_2_25_h,2,25,3,0.6148256659507751,0.0029300334863364697,0.010665799491107464,0.24850301444530487,0.005849617067724466,0.07772847265005112,0.0010772147215902805,0.03842022642493248
Church outdoor.jpg_2_25_h,2,25,4,0.4747651219367981,0.00420620571821928,0.009655538946390152,0.29052048921585083,0.015347675420343876,0.1609049290418625,0.00097769929561764,0.043622419238090515
Church outdoor.jpg_2_25_i,2,25,0,0.7264363765716553,0.0004903714288957417,0.0006591938436031342,0.2190605103969574,0.010393411852419376,0.036461926996707916,0.00016041065100580454,0.006337885279208422
Church outdoor.jpg_2_25_i,2,25,1,0.6206427216529846,0.00047379403258673847,0.001845564809627831,0.3229970335960388,0.012709997594356537,0.036922454833984375,0.0001738369173835963,0.004234503023326397
Church outdoor.jpg_2_25_i,2,25,2,0.6493443846702576,0.0010914768790826201,0.003788014641031623,0.30412396788597107,0.00372504279948771,0.02916763909161091,0.0002201161696575582,0.008539370261132717
Church outdoor.jpg_2_25_i,2,25,3,0.627892792224884,0.002334240823984146,0.03289135545492172,0.25459226965904236,0.0038306948263198137,0.03190384805202484,0.0012258169008418918,0.045329026877880096
Church outdoor.jpg_2_25_i,2,25,4,0.5733857750892639,0.006491855252534151,0.011111810803413391,0.2637211084365845,0.01036226749420166,0.0844472274184227,0.0006908747600391507,0.04978914186358452
Church outdoor.jpg_2_25_j,2,25,0,0.7264363765716553,0.0004903714288957417,0.0006591938436031342,0.2190605103969574,0.010393411852419376,0.036461926996707916,0.00016041065100580454,0.006337885279208422
Church outdoor.jpg_2_25_j,2,25,1,0.6503742933273315,0.0005265065701678395,0.0024064306635409594,0.2501731514930725,0.014416241087019444,0.06761181354522705,0.00040545675437897444,0.01408621110022068
Church outdoor.jpg_2_25_j,2,25,2,0.5363436937332153,0.0017332556890323758,0.010517063550651073,0.39791369438171387,0.007609303575009108,0.0334860123693943,0.0004065831599291414,0.011990401893854141
